Animal,Age,Gender,Breed,WBC,RBC,Hemoglobin,Platelets,Glucose,ALT,AST,Urea,Creatinine,Symptom_Fever,Symptom_Lethargy,Symptom_Vomiting,Symptom_Diarrhea,Symptom_WeightLoss,Symptom_SkinLesion,Disease_PPR,Disease_Anthrax,Disease_FootRot,Disease_Enterotoxemia,Disease_Parasites,Disease_CaprineArthritisEncephalitis,Disease_CaseousLymphadenitis,Disease_Anemia,Disease_Leukemia,Disease_ViralInfection,Disease_BloodParasites,Disease_BacterialInfection,Disease_AvianLeukosis,Disease_DuckViralDiseases,Disease_Colic,Disease_Strangles,Disease_EquineInfluenza,Disease_Laminitis,Disease_Rabies,Disease_EquineAnemia,Disease_EquineInfectiousAnemia,Disease_Bluetongue,Disease_Scrapie,Disease_OvineJohnesDisease,Disease_SheepPox,Disease_FungalInfection,Disease_Scurvy,Disease_Myxomatosis,Disease_HemorrhagicDisease,Disease_FelineLeukemia,Disease_Ringworm,Disease_FIV,Disease_KidneyDisease,Disease_Hyperthyroidism,Disease_Diabetes,Disease_AvianInfluenza,Disease_NewcastleDisease,Disease_MareksDisease,Disease_Coccidiosis,Disease_FowlPox,Disease_FowlCholera,Disease_Mastitis,Disease_FootMouth,Disease_BovineTB,Disease_Anaplasmosis,Disease_Brucellosis,Disease_LumpySkinDisease,Disease_BovineViralDiarrhea,Disease_Parvovirus,Disease_Distemper,Disease_Heartworm,Disease_SkinInfection,Disease_Leptospirosis,Disease_LymeDisease,Disease_VarroaInfection,Disease_SwineFlu,Disease_AfricanSwineFever,Disease_EColi,Disease_PRRS,Disease_PorcineCircovirus,Disease_Erysipelas,Disease_Trypanosomiasis,Disease_HemorrhagicSepticemia,Disease_WetTail,Disease_RespiratoryInfection,Disease_Tuberculosis,Disease_DuckViralEnteritis,Disease_DuckHepatitis,Disease_BlackheadDisease,Disease_Salmonellosis
Rabbit,6,Male,Breed1,11302.09,7.44,12.82,205588.07,76.71,15.58,47.63,25.62,1.82,0,1,0,1,0,0,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,14,Female,Breed2,9755.84,5.33,12.58,401083.95,118.86,46.77,38.46,30.8,0.95,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,
Catfish,12,Male,Breed3,13031.12,6.14,13.99,193928.22,119.07,24.56,16.18,27.44,1.55,0,0,1,0,1,1,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama,11,Male,Breed4,7304.51,5.73,14.21,292848.41,88.33,45.21,13.28,13.73,1.0,1,0,1,0,0,0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama,19,Female,Breed2,12970.19,6.84,13.17,367731.99,70.99,49.23,42.48,28.27,1.58,1,0,0,0,0,0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catfish,5,Female,Breed3,8680.41,6.35,12.65,310141.68,92.82,25.83,20.33,38.81,1.22,1,1,1,0,0,1,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger,14,Female,Breed2,5063.68,7.14,14.04,405234.21,79.24,41.06,45.01,42.8,1.29,0,0,1,1,0,0,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel,16,Male,Breed4,14757.03,4.05,10.27,335063.36,115.73,16.76,17.85,27.58,1.57,0,1,1,0,0,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,
Snake,13,Male,Breed3,9631.3,6.75,15.16,279585.49,109.09,25.35,46.44,49.75,0.7,1,1,0,1,0,1,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephant,20,Female,Breed4,10924.26,5.28,14.85,427548.63,78.53,38.21,42.21,43.71,0.9,0,0,1,0,0,1,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,4,Male,Breed3,11378.77,4.9,12.23,160888.4,61.1,18.28,45.25,18.62,1.76,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Frog,11,Female,Breed1,7986.53,7.2,11.44,296519.66,119.88,22.79,19.31,28.27,1.68,0,1,1,0,1,0,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deer,17,Male,Breed2,12222.81,4.36,10.58,348234.46,101.0,32.55,45.14,21.82,1.99,0,1,1,0,1,1,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama,7,Female,Breed4,13572.93,4.91,14.7,400817.52,85.54,37.65,33.5,32.01,0.53,0,0,0,1,0,1,,,,,,,,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaPig,14,Male,Breed2,8259.06,4.81,14.55,312346.96,77.31,24.28,13.36,18.96,0.71,1,1,1,0,1,0,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,11,Female,Breed4,11227.01,5.68,14.27,415655.32,60.27,25.07,47.24,11.41,1.01,0,1,1,1,0,1,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilapia,9,Male,Breed2,12328.36,5.29,17.88,277883.05,69.24,14.39,17.79,46.18,1.54,0,1,1,0,0,0,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,13,Female,Breed2,6091.38,6.88,14.25,245138.58,60.35,49.36,18.54,30.79,0.97,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,
Deer,18,Male,Breed2,7658.56,6.8,15.77,442143.61,95.86,34.49,38.16,46.6,1.02,1,0,1,1,1,1,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,11,Male,Breed1,5196.75,5.3,10.9,350154.29,99.8,31.21,33.32,14.73,0.84,0,0,1,1,0,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,15,Male,Breed3,10624.29,5.75,12.39,277733.46,106.01,18.45,46.12,16.06,1.86,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,
Goat,19,Female,Breed1,12810.31,4.83,12.2,413456.92,71.22,29.52,22.28,19.06,1.32,1,1,1,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,1,Male,Breed2,10719.23,6.68,14.61,354924.12,65.76,27.89,11.67,28.28,0.74,0,0,0,1,1,1,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duck,4,Male,Breed4,5977.62,5.58,12.65,341380.41,99.03,20.34,49.8,45.2,1.37,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
Honeybee,14,Male,Breed2,10010.05,4.53,15.13,368561.38,89.99,27.85,22.51,36.02,0.74,0,1,1,1,0,0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
Tiger,14,Female,Breed3,13184.28,4.51,15.52,371487.93,112.54,18.14,16.48,12.2,0.91,0,1,0,0,1,0,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deer,3,Male,Breed1,7329.97,5.29,10.27,297895.02,92.0,38.41,49.38,26.29,1.54,0,1,1,1,1,1,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle,17,Female,Breed3,13159.17,6.99,15.12,275792.27,86.69,46.35,32.52,38.93,1.64,1,1,0,1,0,1,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goose,3,Male,Breed4,12630.86,4.1,10.93,422784.8,89.28,10.1,15.95,22.9,1.15,0,0,0,0,1,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel,16,Female,Breed3,4239.15,5.03,13.72,299174.32,106.94,32.25,43.43,29.7,0.75,0,0,0,0,1,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,
Lion,14,Female,Breed1,6634.0,4.65,15.81,214746.49,61.1,39.29,47.82,38.46,0.82,0,0,0,1,0,0,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamster,20,Male,Breed4,9972.37,7.83,15.63,306480.84,115.09,46.29,45.25,48.6,1.31,1,1,1,0,0,1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Rabbit,13,Female,Breed3,11893.79,6.82,12.4,160326.63,102.85,24.34,17.94,23.33,1.38,1,0,1,0,1,0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,15,Female,Breed1,13685.84,4.93,12.18,366995.51,113.12,46.29,12.11,39.78,1.8,0,0,1,1,0,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snake,14,Male,Breed1,11051.47,4.83,13.52,188095.22,117.58,43.02,24.85,39.9,0.9,0,0,0,1,1,1,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger,19,Female,Breed2,8183.79,7.43,11.51,183517.28,73.56,31.01,24.19,31.71,1.42,0,0,1,1,0,0,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frog,6,Female,Breed3,6030.9,4.76,17.8,433906.84,94.7,20.28,26.24,42.53,0.5,0,0,1,0,0,0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,10,Female,Breed4,12360.39,7.99,12.76,381767.0,89.16,36.11,41.96,31.44,1.21,1,0,1,1,1,1,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaPig,15,Female,Breed2,6274.6,5.13,17.38,274268.63,92.26,20.42,10.39,35.0,1.1,1,0,1,1,1,0,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,20,Male,Breed3,11649.74,4.34,17.27,221872.84,62.84,23.95,36.99,43.49,0.68,1,0,1,0,1,1,,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,6,Female,Breed3,5993.33,6.76,12.92,403047.14,114.84,28.68,49.41,29.05,1.84,0,1,0,1,0,0,,,,,,,,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel,10,Female,Breed4,5001.59,6.44,12.03,440575.15,117.28,29.92,25.97,29.12,0.66,0,1,1,0,1,1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,
Snake,7,Male,Breed2,6762.1,8.0,16.17,302506.23,101.11,17.57,29.4,33.64,0.9,0,1,1,1,0,1,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goat,17,Male,Breed2,7134.23,7.21,11.84,324022.82,75.5,37.75,35.12,42.17,1.6,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,18,Female,Breed4,11119.3,5.72,14.17,222916.05,107.23,49.68,21.42,15.09,0.77,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Lion,17,Male,Breed2,5769.72,6.71,10.89,326775.08,103.85,19.75,38.74,40.85,0.62,0,0,1,1,1,1,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pig,9,Male,Breed1,14233.38,7.27,13.09,270179.29,94.48,32.18,18.12,21.79,1.95,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,
Turtle,10,Male,Breed4,10097.98,6.05,10.63,403673.55,70.21,28.19,12.59,12.84,0.94,0,0,1,1,1,1,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goat,10,Male,Breed3,9400.25,5.09,12.27,263133.91,72.07,22.31,42.05,41.69,0.59,0,0,0,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duck,7,Male,Breed4,8781.64,4.84,15.32,344633.74,95.36,26.79,17.06,15.81,0.71,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Honeybee,16,Male,Breed1,10232.61,5.18,17.93,211039.8,67.73,39.31,39.26,18.53,0.83,1,0,1,0,1,1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Turtle,18,Male,Breed4,4246.92,7.39,12.04,177201.85,103.44,26.59,44.85,38.25,1.94,1,0,0,0,1,0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamster,6,Male,Breed3,14890.95,5.52,13.79,162106.57,72.76,30.27,11.83,32.58,0.52,0,1,0,0,0,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
Rabbit,20,Male,Breed3,10132.77,5.15,13.58,274693.63,114.63,29.09,38.27,46.82,1.69,1,1,0,1,0,0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,1,Female,Breed4,4387.15,7.22,11.47,199058.62,113.98,32.21,35.85,48.17,1.67,1,1,1,1,1,0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilapia,1,Female,Breed4,10489.75,4.13,14.88,448044.06,77.62,21.65,34.96,22.56,1.25,0,0,0,1,0,1,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse,12,Female,Breed1,8807.87,6.38,15.8,389515.02,65.0,30.39,21.81,22.97,1.9,1,0,1,1,0,0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse,2,Female,Breed1,4264.41,7.49,11.18,358011.95,96.68,15.39,11.83,18.39,0.52,0,1,1,1,0,1,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpaca,4,Female,Breed3,14168.72,5.64,16.06,390995.54,86.9,39.66,13.94,30.7,1.24,0,1,0,1,1,1,,,,,,,,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goose,17,Male,Breed2,4116.24,5.08,15.6,228824.18,68.62,14.44,20.92,25.12,0.88,0,1,1,0,0,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,4,Male,Breed2,10356.59,5.97,11.58,413779.19,91.89,41.4,26.25,10.59,1.64,1,1,0,1,1,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,11,Female,Breed2,14579.7,6.87,15.19,448690.92,119.56,43.02,46.72,25.8,0.76,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,
Pig,4,Female,Breed2,6613.65,6.07,13.15,236956.34,64.14,10.76,37.36,12.47,1.81,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Turtle,1,Male,Breed3,6795.97,4.03,15.45,445394.61,75.83,43.23,11.04,41.96,1.11,0,0,1,0,1,1,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,7,Female,Breed2,4004.65,4.31,13.97,246118.96,92.32,35.93,46.79,47.16,0.7,1,1,1,0,0,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama,18,Male,Breed2,4729.86,6.89,10.39,153516.94,107.6,13.88,38.81,21.83,0.55,1,0,1,0,0,1,,,,,,,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilapia,9,Female,Breed4,4493.77,5.6,16.3,260164.22,61.13,49.92,29.7,36.03,1.53,1,0,0,1,1,1,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cow,3,Male,Breed2,13049.22,7.14,14.44,449254.5,103.97,34.62,28.52,13.54,1.89,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Goat,8,Female,Breed4,13204.11,6.6,15.8,340545.38,68.39,26.03,47.33,24.54,1.95,1,0,1,1,1,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duck,19,Male,Breed3,11993.7,6.33,11.01,358641.76,109.84,45.41,32.0,33.04,1.81,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Turkey,4,Female,Breed4,7880.2,7.61,15.77,221504.15,101.53,11.66,30.11,14.17,1.08,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Sheep,18,Female,Breed1,13033.8,4.09,13.31,193776.03,87.39,38.69,40.98,25.09,1.86,1,0,1,0,0,1,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pig,20,Male,Breed4,9937.52,4.62,16.39,415653.13,109.29,15.75,33.72,48.21,1.47,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Buffalo,11,Male,Breed2,7347.41,6.5,14.79,274017.66,103.98,32.1,19.95,16.64,0.59,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,
Alpaca,14,Female,Breed4,8810.04,4.26,12.84,151232.28,105.55,13.84,49.96,34.81,0.76,0,0,0,1,1,1,,,,,,,,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frog,18,Female,Breed4,4723.45,6.58,11.62,238273.79,77.4,37.17,21.23,43.33,1.08,1,0,0,0,1,1,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle,16,Male,Breed3,14394.0,7.94,16.53,208719.63,97.17,28.6,37.33,40.85,0.96,0,1,0,0,1,0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat,3,Male,Breed3,10810.28,7.52,14.48,331131.68,68.47,10.27,29.59,40.86,1.0,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamster,15,Male,Breed2,12043.58,6.36,17.9,376836.95,109.25,12.86,14.87,12.36,1.6,0,1,0,0,0,1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
Tilapia,4,Female,Breed1,11442.42,7.58,12.99,299249.55,91.6,38.12,48.36,48.94,0.59,0,0,1,0,1,1,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamster,5,Female,Breed1,11345.25,4.47,15.49,205769.71,109.49,25.98,23.43,39.09,1.41,0,0,1,0,1,1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
Cow,17,Male,Breed4,4189.87,5.82,14.98,167389.34,72.67,36.89,36.28,48.17,1.0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Deer,7,Female,Breed1,9779.08,5.71,15.1,244060.2,67.82,25.59,39.51,49.17,1.82,1,1,1,0,1,0,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,16,Female,Breed3,13038.81,5.35,15.9,391789.01,101.34,24.47,25.79,24.28,0.59,0,0,1,0,1,1,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel,14,Male,Breed2,4489.71,4.0,11.11,275854.06,63.5,44.2,20.43,31.74,1.96,0,1,1,0,1,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,
Turkey,16,Female,Breed2,14517.82,7.56,14.4,225675.33,74.64,44.19,12.36,39.18,0.62,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
Dog,7,Male,Breed3,8665.76,7.11,14.07,156217.43,114.52,46.79,48.06,43.96,1.15,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Elephant,9,Male,Breed2,7188.85,6.61,12.74,298818.62,67.97,42.92,33.28,48.84,1.79,1,1,0,0,0,0,,,,,,,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
